,Subject,Predicate,Object,SubjectTerm,PredicateTerm,ObjectTerm,Domain,Domain Version
1196,http://purl.org/iot/vocab/m3-lite#RoomTemperature,http://www.w3.org/2000/01/rdf-schema#label,Room Temperature,RoomTemperature,label,Room Temperature,lov_fiesta-iot,v1-0-2
1223,http://purl.org/iot/vocab/m3-lite#BuildingTemperature,http://www.w3.org/2000/01/rdf-schema#comment,Measure of building or room temperature.,BuildingTemperature,comment,Measure of building or room temperature.,lov_fiesta-iot,v1-0-2
1229,http://purl.org/iot/vocab/m3-lite#BodyTemperature,http://www.w3.org/2000/01/rdf-schema#comment,Measure of body temperature.,BodyTemperature,comment,Measure of body temperature.,lov_fiesta-iot,v1-0-2
1256,http://purl.org/iot/vocab/m3-lite#RoadTemperature,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.org/iot/vocab/m3-lite#Temperature,RoadTemperature,subClassOf,Temperature,lov_fiesta-iot,v1-0-2
1268,http://purl.org/iot/vocab/m3-lite#BuildingTemperature,http://www.w3.org/2000/01/rdf-schema#label,Building/Room Temperature,BuildingTemperature,label,Room Temperature,lov_fiesta-iot,v1-0-2
1287,http://purl.org/iot/vocab/m3-lite#FoodTemperature,http://www.w3.org/2000/01/rdf-schema#label,Food Temperature,FoodTemperature,label,Food Temperature,lov_fiesta-iot,v1-0-2
1296,http://purl.org/iot/vocab/m3-lite#HouseholdApplianceTemperature,http://www.w3.org/2000/01/rdf-schema#comment,Measure of Household Appliance Temperature.,HouseholdApplianceTemperature,comment,Measure of Household Appliance Temperature.,lov_fiesta-iot,v1-0-2
1316,http://purl.org/iot/vocab/m3-lite#RoadSurfaceThermometer,http://www.w3.org/2000/01/rdf-schema#comment,Device used to measure the road Surface temperature.,RoadSurfaceThermometer,comment,Device used to measure the road Surface temperature.,lov_fiesta-iot,v1-0-2
1340,http://purl.org/iot/vocab/m3-lite#BodyThermometer,http://www.w3.org/2000/01/rdf-schema#comment,Device used to measure body temperature.,BodyThermometer,comment,Device used to measure body temperature.,lov_fiesta-iot,v1-0-2
1416,http://purl.org/iot/vocab/m3-lite#RoomTemperature,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://sensormeasurement.appspot.com/home#RoomTemperature,RoomTemperature,seeAlso,RoomTemperature,lov_fiesta-iot,v1-0-2
1455,http://purl.org/iot/vocab/m3-lite#SoilTemperature,http://www.w3.org/2000/01/rdf-schema#label,Soil Temperature,SoilTemperature,label,Soil Temperature,lov_fiesta-iot,v1-0-2
1530,http://purl.org/iot/vocab/m3-lite#TemperatureWasteContainer,http://www.w3.org/2000/01/rdf-schema#comment,The temperature of the air that would be indicated by a thermometer exposed to the air inside a waste container.,TemperatureWasteContainer,comment,The temperature of the air that would be indicated by a thermometer exposed to the air inside a waste container.,lov_fiesta-iot,v1-0-2
1532,http://purl.oclc.org/NET/UNIS/fiware/iot-lite#hasQuantityKind,http://www.w3.org/2000/01/rdf-schema#comment,Links a sensor or an attribute with the quantity  kind it measures (e.g. A sensor -sensor1- measures temperature: sensor1 hasQuantityKind temperature).,hasQuantityKind,comment,Links a sensor or an attribute with the quantity  kind it measures (e.g. A sensor -sensor1- measures temperature: sensor1 hasQuantityKind temperature).,lov_fiesta-iot,v1-0-2
1551,http://purl.org/iot/vocab/m3-lite#Temperature,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://archive.knoesis.org/research/semsci/application_domain/sem_sensor/ont/sensor-observation.owlTemperatureProperty,Temperature,seeAlso,sensor-observation.owlTemperatureProperty,lov_fiesta-iot,v1-0-2
1600,http://purl.org/iot/vocab/m3-lite#BodyTemperature,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.org/iot/vocab/m3-lite#Temperature,BodyTemperature,subClassOf,Temperature,lov_fiesta-iot,v1-0-2
1633,http://purl.org/iot/vocab/m3-lite#TemperatureEngine,http://www.w3.org/2000/01/rdf-schema#comment,The temperature of a vehicle engine.,TemperatureEngine,comment,The temperature of a vehicle engine.,lov_fiesta-iot,v1-0-2
1712,http://purl.org/iot/vocab/m3-lite#SoilTemperature,http://www.w3.org/2000/01/rdf-schema#comment,"Soil temperature is the bulk temperature of the soil, not the surface (skin) temperature.",SoilTemperature,comment,"Soil temperature is the bulk temperature of the soil, not the surface (skin) temperature.",lov_fiesta-iot,v1-0-2
1755,http://purl.org/iot/vocab/m3-lite#DeltaDewPoint,http://www.w3.org/2000/01/rdf-schema#comment,Difference between Dewpoint and surface temperatures.,DeltaDewPoint,comment,Difference between Dewpoint and surface temperatures.,lov_fiesta-iot,v1-0-2
1760,http://purl.org/iot/vocab/m3-lite#DegreeCelsius,http://www.w3.org/2000/01/rdf-schema#comment,"A temperature unit which is equal to one kelvin degree. However, they have their zeros at different points. The centigrade scale has its zero at 273.15 K.",DegreeCelsius,comment,"A temperature unit which is equal to one kelvin degree. However, they have their zeros at different points. The centigrade scale has its zero at 273.15 K.",lov_fiesta-iot,v1-0-2
1808,http://purl.org/iot/vocab/m3-lite#DegreeFahrenheit,http://www.w3.org/2000/01/rdf-schema#comment,Measurement Unit to represent temperature on the Fahrenheit scale.,DegreeFahrenheit,comment,Measurement Unit to represent temperature on the Fahrenheit scale.,lov_fiesta-iot,v1-0-2
1816,http://purl.org/iot/vocab/m3-lite#DeltaDewPointSensor,http://www.w3.org/2000/01/rdf-schema#comment,Device that measures the difference between Dewpoint and surface temperatures.,DeltaDewPointSensor,comment,Device that measures the difference between Dewpoint and surface temperatures.,lov_fiesta-iot,v1-0-2
1821,http://purl.org/iot/vocab/m3-lite#WaterTemperature,http://www.w3.org/2000/01/rdf-schema#label,Water Temperature,WaterTemperature,label,Water Temperature,lov_fiesta-iot,v1-0-2
1840,http://purl.org/iot/vocab/m3-lite#WaterTemperature,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.org/iot/vocab/m3-lite#Temperature,WaterTemperature,subClassOf,Temperature,lov_fiesta-iot,v1-0-2
1843,http://purl.org/iot/vocab/m3-lite#FoodTemperature,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.org/iot/vocab/m3-lite#Temperature,FoodTemperature,subClassOf,Temperature,lov_fiesta-iot,v1-0-2
2047,http://purl.org/iot/vocab/m3-lite#SoilTemperature,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.org/iot/vocab/m3-lite#Temperature,SoilTemperature,subClassOf,Temperature,lov_fiesta-iot,v1-0-2
2088,http://purl.org/iot/vocab/m3-lite#BoardThermometer,http://www.w3.org/2000/01/rdf-schema#comment,Device used to measure board temperature.,BoardThermometer,comment,Device used to measure board temperature.,lov_fiesta-iot,v1-0-2
2232,http://purl.org/iot/vocab/m3-lite#RoadTemperature,http://www.w3.org/2000/01/rdf-schema#comment,Temperature of the road.,RoadTemperature,comment,Temperature of the road.,lov_fiesta-iot,v1-0-2
2243,http://purl.org/iot/vocab/m3-lite#Temperature,http://www.w3.org/2000/01/rdf-schema#label,Temperature,Temperature,label,Temperature,lov_fiesta-iot,v1-0-2
2266,http://purl.oclc.org/NET/UNIS/fiware/iot-lite#Coverage,http://www.w3.org/2000/01/rdf-schema#comment,The coverage of an IoT device (i.e. a temperature sensor inside a room has a coverage of that room).,Coverage,comment,The coverage of an IoT device (i.e. a temperature sensor inside a room has a coverage of that room).,lov_fiesta-iot,v1-0-2
2273,http://purl.org/iot/vocab/m3-lite#Temperature,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://openiot.eu/ontology/ns/Temperature,Temperature,seeAlso,Temperature,lov_fiesta-iot,v1-0-2
2332,http://purl.org/iot/vocab/m3-lite#RoadTemperature,http://www.w3.org/2000/01/rdf-schema#label,Road Temperature,RoadTemperature,label,Road Temperature,lov_fiesta-iot,v1-0-2
2388,http://purl.org/iot/vocab/m3-lite#Thermometer,http://www.w3.org/2000/01/rdf-schema#comment,A device to measure the temperature in a room or outside.,Thermometer,comment,A device to measure the temperature in a room or outside.,lov_fiesta-iot,v1-0-2
2466,http://purl.org/iot/vocab/m3-lite#BoardTemperature,http://www.w3.org/2000/01/rdf-schema#comment,Measure of board temperature.,BoardTemperature,comment,Measure of board temperature.,lov_fiesta-iot,v1-0-2
2469,http://purl.org/iot/vocab/m3-lite#AirTemperature,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://paul.staroch.name/thesis/SmartHomeWeather.owl#Temperature,AirTemperature,seeAlso,Temperature,lov_fiesta-iot,v1-0-2
