h2_19_99,5.0,0.0
h2_19_98,5.0,0.0
h2_19_97,5.0,0.0
h2_19_96,5.0,0.0
h2_19_95,5.0,0.0
h2_19_94,5.0,0.0
h2_19_93,5.0,0.0
h2_19_92,5.0,0.0
h2_19_91,5.0,0.0
h2_19_90,5.0,0.0
h2_19_89,5.0,0.4
h2_19_88,5.0,0.0
h2_19_87,5.0,0.0
h2_19_86,5.0,0.0
h2_19_85,5.0,0.0
h2_19_84,5.0,0.0
h2_19_83,5.0,0.0
h2_19_82,5.0,0.0
h2_19_81,5.0,0.0
h2_19_80,5.0,0.0
h2_19_79,5.0,0.0
h2_19_78,5.0,0.0
h2_19_77,5.0,0.0
h2_19_76,5.0,0.0
h2_19_75,5.0,0.0
h2_19_74,5.0,0.0
h2_19_73,5.0,0.0
h2_19_72,5.0,0.0
h2_19_71,5.0,0.0
h2_19_70,5.0,0.0
h2_19_69,5.0,0.0
h2_19_68,5.0,0.0
h2_19_67,5.0,0.0
h2_19_66,5.0,0.0
h2_19_65,5.0,0.0
h2_19_64,5.0,0.0
h2_19_63,5.0,0.0
h2_19_62,5.0,0.0
h2_19_61,5.0,0.0
h2_19_60,5.0,0.0
h2_19_59,5.0,0.0
h2_19_58,5.0,0.0
h2_19_57,5.0,0.0
h2_19_56,5.0,0.0
h2_19_55,5.0,0.4
h2_19_54,5.0,0.0
h2_19_53,5.0,0.0
h2_19_52,5.0,0.0
h2_19_51,5.0,0.0
h2_19_50,5.0,0.0
h2_19_49,5.0,0.0
h2_19_48,5.0,0.0
h2_19_47,5.0,0.0
h2_19_46,5.0,0.0
h2_19_45,5.0,0.0
h2_19_44,5.0,0.0
h2_19_43,5.0,0.0
h2_19_42,5.0,0.0
h2_19_41,5.0,0.0
h2_19_40,5.0,0.0
h2_19_39,5.0,0.0
h2_19_38,5.0,0.0
h2_19_37,5.0,0.0
h2_19_36,5.0,0.0
h2_19_35,5.0,0.0
h2_19_34,5.0,0.0
h2_19_33,5.0,0.0
h2_19_32,5.0,0.0
h2_19_31,5.0,0.0
h2_19_30,5.0,0.0
h2_19_29,5.0,0.0
h2_19_28,5.0,0.0
h2_19_27,5.0,0.0
h2_19_26,5.0,0.0
h2_19_25,5.0,0.0
h2_19_24,5.0,0.0
h2_19_23,5.0,0.0
h2_19_22,5.0,0.0
h2_19_21,5.0,0.0
h2_19_20,5.0,0.0
h2_19_19,5.0,0.0
h2_19_18,5.0,0.0
h2_19_17,5.0,0.0
h2_19_16,5.0,0.0
h2_19_15,5.0,0.0
h2_19_14,5.0,0.0
h2_19_13,5.0,0.0
h2_19_12,5.0,0.0
h2_19_11,5.0,0.0
h2_19_10,5.0,0.0
h2_19_9,5.0,0.0
h2_19_8,5.0,0.0
h2_19_7,5.0,0.0
h2_19_6,5.0,0.0
h2_19_5,5.0,0.0
h2_19_4,5.0,0.0
h2_19_3,5.0,0.0
h2_19_2,5.0,0.0
h2_19_1,5.0,0.0
h2_19_0,5.0,0.0
h2_18_99,5.0,0.0
h2_18_98,5.0,0.0
h2_18_97,5.0,0.0
h2_18_96,5.0,0.0
h2_18_95,5.0,0.0
h2_18_94,5.0,0.0
h2_18_93,5.0,0.0
h2_18_92,5.0,0.0
